2024-05-31 12:48:46,192: Key.enter
2024-05-31 12:48:47,758: Key.ctrl_l
2024-05-31 12:48:48,264: Key.ctrl_l
2024-05-31 12:48:48,311: Key.ctrl_l
2024-05-31 12:48:48,345: Key.ctrl_l
2024-05-31 12:48:48,374: Key.ctrl_l
2024-05-31 12:48:48,406: Key.ctrl_l
2024-05-31 12:48:48,441: Key.ctrl_l
2024-05-31 12:48:48,470: Key.ctrl_l
2024-05-31 12:48:48,502: Key.ctrl_l
2024-05-31 12:48:48,536: Key.ctrl_l
2024-05-31 12:48:48,566: Key.ctrl_l
2024-05-31 12:48:48,597: Key.ctrl_l
2024-05-31 12:48:48,630: Key.ctrl_l
2024-05-31 12:48:48,663: Key.ctrl_l
2024-05-31 12:48:48,693: Key.ctrl_l
2024-05-31 12:48:48,728: Key.ctrl_l
2024-05-31 12:48:48,758: Key.ctrl_l
2024-05-31 12:48:48,775: '\x03'
2024-05-31 12:48:50,263: '\x03'
2024-05-31 12:48:50,770: '\x16'
2024-05-31 12:48:51,504: '\x04'
2024-05-31 12:48:52,726: '\x1a'
2024-05-31 12:48:53,156: '\x18'
2024-05-31 12:48:53,934: '\x18'
2024-05-31 12:48:54,141: '\x18'
2024-05-31 12:48:54,650: Key.ctrl_l
2024-05-31 12:48:54,793: '\x18'
